Brew_ID,Name,City,State
199,Hop Valley Brewing Company,Springfield, OR
200,Worthy Brewing Company,Bend, OR
201,Occidental Brewing Company,Portland, OR
202,Fearless Brewing Company,Estacada, OR
207,Fort George Brewery,Astoria, OR
290,Rogue Ales,Newport, OR
297,Widmer Brothers Brewing Company,Portland, OR
375,Astoria Brewing Company,Astoria, OR
388,Natian Brewery,Portland, OR
404,Red Tank Cider Company,Bend, OR
405,Cascadia Ciderworks United,Portland, OR
409,10 Barrel Brewing Company,Bend, OR
419,Coalition Brewing Company,Portland, OR
423,Blue Dog Mead,Eugene, OR
437,Southern Oregon Brewing Company,Medford, OR
455,Deschutes Brewery,Bend, OR
465,Good Life Brewing Company,Bend, OR
486,MacTarnahans Brewing Company,Portland, OR
495,Seven Brides Brewery,Silverton, OR
44,Rivertowne Brewing Company,Export, PA
91,The Lion Brewery,Wilkes-Barre, PA
98,Tröegs Brewing Company,Hershey, PA
114,Vault Brewing Company,Yardley, PA
130,Straub Brewery,St Mary's, PA
152,Fort Pitt Brewing Company,Latrobe, PA
164,Sly Fox Brewing Company,Phoenixville, PA
165,Round Guys Brewing,Lansdale, PA
168,Boxcar Brewing Company,West Chester, PA
298,Hop Farm Brewing Company,Pittsburgh, PA
299,Liquid Hero Brewery,York, PA
302,Old Forge Brewing Company,Danville, PA
323,Voodoo Brewery,Meadville, PA
326,Neshaminy Creek Brewing Company,Croydon, PA
346,Lavery Brewing Company,Erie, PA
357,Manayunk Brewing Company,Philadelphia, PA
364,Mikkeller,Pottstown, PA
372,Sly Fox Brewing Company,Pottstown, PA
373,Spring House Brewing Company,Conestoga, PA
382,Swashbuckler Brewing Company,Manheim, PA
417,Jack's Hard Cider (Hauser Estate...,Biglerville, PA
432,North Country Brewing Company,Slippery Rock, PA
489,Dock Street Brewery,Philadelphia, PA
533,Flat Rock Brewing Company,Smithton, PA
546,Lancaster Brewing Company,Lancaster, PA
87,Grey Sail Brewing Company,Westerly, RI
102,Coastal Extreme Brewing Company,Newport, RI
144,Narragansett Brewing Company,Providence, RI
280,Foolproof Brewing Company,Pawtucket, RI
380,Grey Sail Brewing of Rhode Island,Westerly, RI
6,COAST Brewing Company,Charleston, SC
247,Quest Brewing Company,Greenville, SC
385,Westbrook Brewing Company,Mt. Pleasant, SC
519,New South Brewing Company,Myrtle Beach, SC
213,Crow Peak Brewing Company,Spearfish, SD
240,Wiseacre Brewing Company,Memphis, TN
313,Jackalope Brewing Company,Nashville, TN
520,Big River Brewing Company,Chattanooga, TN
30,Cedar Creek Brewery,Seven Points, TX
39,Twisted X Brewing Company,Dripping Springs, TX
67,Freetail Brewing Company,San Antonio, TX
78,Blue Owl Brewing,Austin, TX
119,Southern Star Brewing Company,Conroe, TX
126,Karbach Brewing Company,Houston, TX
127,Uncle Billy's Brewery and Smokeh...,Austin, TX
128,Deep Ellum Brewing Company,Dallas, TX
129,Real Ale Brewing Company,Blanco, TX
137,Hops & Grains Brewing Company,Austin, TX
141,Independence Brewing Company,Austin, TX
162,Martin House Brewing Company,Fort Worth, TX
177,Rahr & Sons Brewing Company,Fort Worth, TX
185,Oasis Texas Brewing Company,Austin, TX
188,Pedernales Brewing Company,Fredericksburg, TX
208,Branchline Brewing Company,San Antonio, TX
214,Grapevine Craft Brewery,Farmers Branch, TX
215,Buffalo Bayou Brewing Company,Houston, TX
216,Texian Brewing Co.,Richmond, TX
242,New Republic Brewing Company,College Station, TX
243,Infamous Brewing Company,Austin, TX
258,South Austin Brewery,South Austin, TX
288,Four Corners Brewing Company,Dallas, TX
396,Hops & Grain Brewery,Austin, TX
414,Austin Beerworks,Austin, TX
427,Armadillo Ale Works,Denton, TX
464,Big Bend Brewing Company,Alpine, TX
